Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:

Point (14.0645, 249.8681, 149.8754) connects to:
    Branch Segment 2
    Branch Segment 3

        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz          C       Area
   14.3236    23.0542   149.9762     0.0001     1.0000    -0.0003    -0.2331     0.0003     0.9725     0.9725    -0.0000     0.2331     0.0007   488.6484
   14.3236    23.5538   149.9761     0.0000     1.0000    -0.0000    -0.2330     0.0000     0.9725     0.9725    -0.0000     0.2330     0.0003   488.6502
   14.3236    24.0534   149.9761     0.0000     1.0000     0.0000     0.2330     0.0000    -0.9725    -0.9725     0.0000    -0.2330     0.0001   488.6522
   14.3237    24.5530   149.9761     0.0000     1.0000     0.0000    -0.2330    -0.0000     0.9725     0.9725    -0.0000     0.2330     0.0000   488.6542
   14.3237    25.0526   149.9761     0.0000     1.0000     0.0000     0.2330     0.0000    -0.9725    -0.9725     0.0000    -0.2330     0.0000   488.6560
   14.3237    25.5521   149.9761     0.0000     1.0000     0.0000    -0.2329    -0.0000     0.9725     0.9725    -0.0000     0.2329     0.0000   488.6580
   14.3237    26.0517   149.9761     0.0000     1.0000     0.0000     0.2327     0.0000    -0.9725    -0.9725     0.0000    -0.2327     0.0000   488.6599
   14.3237    26.5513   149.9761     0.0000     1.0000     0.0000    -0.2293    -0.0000     0.9733     0.9733    -0.0000     0.2293     0.0000   488.6619
   14.3237    27.0509   149.9762     0.0000     1.0000     0.0000     0.1836     0.0000    -0.9830    -0.9830     0.0000    -0.1836     0.0000   488.6638
   14.3237    27.5505   149.9762     0.0000     1.0000     0.0000     0.2331    -0.0000     0.9724     0.9724    -0.0000    -0.2331     0.0000   488.6658
   14.3237    28.0500   149.9762     0.0000     1.0000     0.0000    -0.6690     0.0000    -0.7433    -0.7433     0.0000     0.6690     0.0000   488.6677
   14.3237    28.5496   149.9762     0.0000     1.0000     0.0000     0.7158    -0.0000     0.6983     0.6983     0.0000    -0.7158     0.0000   488.6698
   14.3237    29.0492   149.9762     0.0000     1.0000     0.0000    -0.7192     0.0000    -0.6948    -0.6948    -0.0000     0.7192     0.0000   488.6717
   14.3237    29.5488   149.9762     0.0000     1.0000     0.0000    -0.7195     0.0000    -0.6945    -0.6945    -0.0000     0.7195     0.0000   488.6737
   14.3237    30.0484   149.9762     0.0000     1.0000     0.0000     0.7194    -0.0000     0.6945     0.6945     0.0000    -0.7194     0.0000   488.6756
   14.3238    30.5479   149.9762     0.0000     1.0000     0.0000    -0.7194     0.0000    -0.6946    -0.6946    -0.0000     0.7194     0.0000   488.6777
   14.3238    31.0475   149.9762     0.0000     1.0000     0.0000     0.7191    -0.0000     0.6949     0.6949     0.0000    -0.7191     0.0000   488.6797
   14.3238    31.5471   149.9762     0.0000     1.0000     0.0000    -0.7157     0.0000    -0.6984    -0.6984    -0.0000     0.7157     0.0000   488.6817
   14.3238    32.0467   149.9763     0.0000     1.0000     0.0000     0.6809    -0.0000     0.7324     0.7324    -0.0000    -0.6809     0.0000   488.6837
   14.3238    32.5463   149.9763     0.0000     1.0000     0.0000    -0.6060     0.0000    -0.7955    -0.7955     0.0000     0.6060     0.0000   488.6858
   14.3238    33.0459   149.9763     0.0000     1.0000     0.0000     0.5878    -0.0000     0.8090     0.8090    -0.0000    -0.5878     0.0000   488.6877
   14.3238    33.5454   149.9763     0.0000     1.0000     0.0000    -0.5863     0.0000    -0.8101    -0.8101     0.0000     0.5863     0.0000   488.6897
   14.3238    34.0450   149.9763     0.0000     1.0000     0.0000     0.5862    -0.0000     0.8102     0.8102    -0.0000    -0.5862     0.0000   488.6918
   14.3238    34.5446   149.9763     0.0000     1.0000     0.0000    -0.5862     0.0000    -0.8102    -0.8102     0.0000     0.5862     0.0000   488.6938
   14.3238    35.0442   149.9763     0.0000     1.0000     0.0000     0.5862    -0.0000     0.8102     0.8102    -0.0000    -0.5862     0.0000   488.6959
   14.3238    35.5438   149.9763     0.0000     1.0000     0.0000    -0.5862     0.0000    -0.8102    -0.8102     0.0000     0.5862     0.0000   488.6978
   14.3239    36.0433   149.9763     0.0000     1.0000     0.0000     0.5862    -0.0000     0.8102     0.8102    -0.0000    -0.5862     0.0000   488.6999
   14.3239    36.5429   149.9763     0.0000     1.0000     0.0000    -0.5862     0.0000    -0.8102    -0.8102     0.0000     0.5862     0.0000   488.7019
   14.3239    37.0425   149.9763     0.0000     1.0000     0.0000     0.5865    -0.0000     0.8100     0.8100    -0.0000    -0.5865     0.0000   488.7040
   14.3239    37.5421   149.9763     0.0000     1.0000     0.0000    -0.5906     0.0000    -0.8070    -0.8070     0.0000     0.5906     0.0000   488.7061
   14.3239    38.0417   149.9764     0.0000     1.0000     0.0000     0.6402    -0.0000     0.7682     0.7682    -0.0000    -0.6402     0.0000   488.7082
   14.3239    38.5412   149.9764     0.0000     1.0000     0.0000    -0.8420     0.0000    -0.5395    -0.5395    -0.0000     0.8420     0.0000   488.7102
   14.3239    39.0408   149.9764     0.0000     1.0000     0.0000     0.9184    -0.0000     0.3958     0.3958     0.0000    -0.9184     0.0000   488.7122
   14.3239    39.5404   149.9764     0.0000     1.0000     0.0000    -0.9249     0.0000    -0.3803    -0.3803    -0.0000     0.9249     0.0000   488.7143
   14.3239    40.0400   149.9764     0.0000     1.0000     0.0000     0.9253    -0.0000     0.3792     0.3792     0.0000    -0.9253     0.0000   488.7164
   14.3239    40.5396   149.9764     0.0000     1.0000     0.0000    -0.9254     0.0000    -0.3791    -0.3791    -0.0000     0.9254     0.0000   488.7185
   14.3239    41.0392   149.9764     0.0000     1.0000     0.0000     0.9254    -0.0000     0.3791     0.3791     0.0000    -0.9254     0.0000   488.7206
   14.3239    41.5387   149.9764     0.0000     1.0000     0.0000    -0.9254     0.0000    -0.3791    -0.3791    -0.0000     0.9254     0.0000   488.7227
   14.3239    42.0383   149.9764     0.0000     1.0000     0.0000     0.9254    -0.0000     0.3791     0.3791     0.0000    -0.9254     0.0000   488.7248
   14.3239    42.5379   149.9764     0.0000     1.0000     0.0000    -0.9254     0.0000    -0.3791    -0.3791    -0.0000     0.9254     0.0000   488.7269
   14.3239    43.0375   149.9764     0.0000     1.0000     0.0000     0.9254    -0.0000     0.3791     0.3791     0.0000    -0.9254     0.0000   488.7290
   14.3240    43.5371   149.9764     0.0000     1.0000     0.0000    -0.9252     0.0000    -0.3795    -0.3795    -0.0000     0.9252     0.0000   488.7311
   14.3240    44.0366   149.9764     0.0000     1.0000     0.0000     0.9230    -0.0000     0.3849     0.3849     0.0000    -0.9230     0.0000   488.7333
   14.3240    44.5362   149.9764     0.0000     1.0000     0.0000    -0.8901     0.0000    -0.4558    -0.4558    -0.0000     0.8901     0.0000   488.7354
   14.3240    45.0358   149.9765     0.0000     1.0000     0.0000     0.4973    -0.0000     0.8676     0.8676    -0.0000    -0.4973     0.0000   488.7376
   14.3240    45.5354   149.9765     0.0000     1.0000     0.0000    -0.0931     0.0000    -0.9957    -0.9957     0.0000     0.0931     0.0000   488.7397
   14.3240    46.0350   149.9765     0.0000     1.0000     0.0000     0.0492    -0.0000     0.9988     0.9988    -0.0000    -0.0492     0.0000   488.7418
   14.3240    46.5345   149.9765     0.0000     1.0000     0.0000    -0.0460     0.0000    -0.9989    -0.9989     0.0000     0.0460     0.0000   488.7440
   14.3240    47.0341   149.9765     0.0000     1.0000     0.0000     0.0458    -0.0000     0.9990     0.9990    -0.0000    -0.0458     0.0000   488.7461
   14.3240    47.5337   149.9765     0.0000     1.0000     0.0000    -0.0458     0.0000    -0.9990    -0.9990     0.0000     0.0458     0.0000   488.7483
   14.3240    48.0333   149.9765     0.0000     1.0000     0.0000    -0.0458     0.0000    -0.9990    -0.9990     0.0000     0.0458     0.0000   488.7504
   14.3240    48.5329   149.9765     0.0000     1.0000     0.0000     0.0458    -0.0000     0.9990     0.9990    -0.0000    -0.0458     0.0000   488.7527
   14.3240    49.0325   149.9765     0.0000     1.0000     0.0000    -0.0460     0.0000    -0.9989    -0.9989     0.0000     0.0460     0.0000   488.7548
   14.3240    49.5320   149.9765     0.0000     1.0000     0.0000     0.0493    -0.0000     0.9988     0.9988    -0.0000    -0.0493     0.0000   488.7570
   14.3240    50.0316   149.9765     0.0000     1.0000     0.0000    -0.0937     0.0000    -0.9956    -0.9956     0.0000     0.0937     0.0000   488.7592
   14.3240    50.5312   149.9765     0.0000     1.0000     0.0000     0.5199    -0.0000     0.8542     0.8542    -0.0000    -0.5199     0.0000   488.7615
   14.3240    51.0308   149.9765     0.0000     1.0000     0.0000    -0.9263     0.0000    -0.3769    -0.3769    -0.0000     0.9263     0.0000   488.7636
   14.3240    51.5304   149.9765     0.0000     1.0000     0.0000     0.9547    -0.0000     0.2976     0.2976     0.0000    -0.9547     0.0000   488.7658
   14.3240    52.0299   149.9765     0.0000     1.0000     0.0000    -0.9565     0.0000    -0.2916    -0.2916    -0.0000     0.9565     0.0000   488.7680
   14.3240    52.5295   149.9765     0.0000     1.0000     0.0000     0.9567    -0.0000     0.2910     0.2910     0.0000    -0.9567     0.0000   488.7702
   14.3240    53.0291   149.9766     0.0000     1.0000     0.0000    -0.9567     0.0000    -0.2910    -0.2910    -0.0000     0.9567     0.0000   488.7725
   14.3240    53.5287   149.9766     0.0000     1.0000     0.0000     0.9567    -0.0000     0.2910     0.2910     0.0000    -0.9567     0.0000   488.7746
   14.3240    54.0283   149.9766     0.0000     1.0000     0.0000     0.9567    -0.0000     0.2910     0.2910     0.0000    -0.9567     0.0000   488.7769
   14.3240    54.5278   149.9766     0.0000     1.0000     0.0000    -0.9567     0.0000    -0.2910    -0.2910    -0.0000     0.9567     0.0000   488.7791
   14.3240    55.0274   149.9766     0.0000     1.0000     0.0000     0.9567    -0.0000     0.2910     0.2910     0.0000    -0.9567     0.0000   488.7813
   14.3240    55.5270   149.9766     0.0000     1.0000     0.0000    -0.9567     0.0000    -0.2910    -0.2910    -0.0000     0.9567     0.0000   488.7835
   14.3241    56.0266   149.9766     0.0000     1.0000     0.0000     0.9565    -0.0000     0.2916     0.2916     0.0000    -0.9565     0.0000   488.7859
   14.3241    56.5262   149.9766     0.0000     1.0000     0.0000    -0.9546     0.0000    -0.2980    -0.2980    -0.0000     0.9546     0.0000   488.7881
   14.3241    57.0258   149.9766     0.0000     1.0000     0.0000     0.9492    -0.0000     0.3148     0.3148     0.0000    -0.9492     0.0000   488.7903
   14.3241    57.5253   149.9766     0.0000     1.0000     0.0000    -0.9475     0.0000    -0.3199    -0.3199    -0.0000     0.9475     0.0000   488.7926
   14.3241    58.0249   149.9766     0.0000     1.0000     0.0000     0.9473    -0.0000     0.3203     0.3203     0.0000    -0.9473     0.0000   488.7948
   14.3241    58.5245   149.9766     0.0000     1.0000     0.0000    -0.9473     0.0000    -0.3203    -0.3203    -0.0000     0.9473     0.0000   488.7972
   14.3241    59.0241   149.9766     0.0000     1.0000     0.0000     0.9473    -0.0000     0.3203     0.3203     0.0000    -0.9473     0.0000   488.7994
   14.3241    59.5237   149.9766     0.0000     1.0000     0.0000    -0.9473     0.0000    -0.3203    -0.3203    -0.0000     0.9473     0.0000   488.8017
   14.3241    60.0232   149.9766     0.0000     1.0000     0.0000     0.9473    -0.0000     0.3203     0.3203     0.0000    -0.9473     0.0000   488.8040
   14.3241    60.5228   149.9766     0.0000     1.0000     0.0000    -0.9473     0.0000    -0.3203    -0.3203    -0.0000     0.9473     0.0000   488.8063
   14.3241    61.0224   149.9767     0.0000     1.0000     0.0000     0.9473    -0.0000     0.3203     0.3203     0.0000    -0.9473     0.0000   488.8086
   14.3241    61.5220   149.9767     0.0000     1.0000     0.0000    -0.9473     0.0000    -0.3204    -0.3204    -0.0000     0.9473     0.0000   488.8109
   14.3241    62.0216   149.9767     0.0000     1.0000     0.0000     0.9471    -0.0000     0.3209     0.3209     0.0000    -0.9471     0.0000   488.8132
   14.3241    62.5211   149.9767     0.0000     1.0000     0.0000    -0.9444     0.0000    -0.3288    -0.3288    -0.0000     0.9444     0.0000   488.8155
   14.3241    63.0207   149.9767     0.0000     1.0000     0.0000     0.8931    -0.0000     0.4499     0.4499     0.0000    -0.8931     0.0000   488.8179
   14.3241    63.5203   149.9767     0.0000     1.0000     0.0000     0.6415     0.0000    -0.7671    -0.7671     0.0000    -0.6415     0.0000   488.8202
   14.3242    64.0199   149.9767     0.0000     1.0000     0.0000    -0.8782     0.0000     0.4784     0.4784    -0.0000     0.8782     0.0000   488.8224
   14.3242    64.5195   149.9767     0.0000     1.0000     0.0000     0.8877    -0.0000    -0.4604    -0.4604     0.0000    -0.8877     0.0000   488.8248
   14.3242    65.0191   149.9767     0.0000     1.0000     0.0000    -0.8884     0.0000     0.4591     0.4591    -0.0000     0.8884     0.0000   488.8271
   14.3242    65.5186   149.9767     0.0000     1.0000     0.0000     0.8884    -0.0000    -0.4590    -0.4590     0.0000    -0.8884     0.0000   488.8295
   14.3242    66.0182   149.9767     0.0000     1.0000     0.0000    -0.8884     0.0000     0.4590     0.4590    -0.0000     0.8884     0.0000   488.8318
   14.3242    66.5178   149.9767     0.0000     1.0000     0.0000    -0.8885     0.0000     0.4589     0.4589    -0.0000     0.8885     0.0000   488.8341
   14.3242    67.0174   149.9767     0.0000     1.0000     0.0000     0.8891    -0.0000    -0.4576    -0.4576     0.0000    -0.8891     0.0000   488.8365
   14.3242    67.5170   149.9768     0.0000     1.0000     0.0000    -0.8984     0.0000     0.4393     0.4393    -0.0000     0.8984     0.0000   488.8388
   14.3242    68.0165   149.9768     0.0000     1.0000     0.0000     0.9536    -0.0000    -0.3011    -0.3011     0.0000    -0.9536     0.0000   488.8411
   14.3242    68.5161   149.9768     0.0000     1.0000     0.0000    -0.9880     0.0000     0.1545     0.1545    -0.0000     0.9880     0.0000   488.8436
