t	Q
0	0
0.01	4.564303438
0.02	9.056624834
0.03	13.40611741
0.04	17.54418832
0.05	21.40557689
0.06	24.9293862
0.07	28.06004418
0.08	30.7481792
0.09	32.95139593
0.1	34.63495065
0.11	35.77229116
0.12	36.34548112
0.13	36.34548112
0.14	35.77229116
0.15	34.63495065
0.16	32.95139593
0.17	30.7481792
0.18	28.06004418
0.19	24.9293862
0.2	21.40557689
0.21	17.54418832
0.22	13.40611741
0.23	9.056624834
0.24	4.564303438
0.25	4.45984E-15
0.26	-1.340611821
0.27	-2.492938858
0.28	-3.295139276
0.29	-3.634548112
0.3	-3.463495065
0.31	-2.806004497
0.32	-1.754418911
0.33	-0.456430423
0.34	0.905662088
0.35	2.140557531
0.36	3.074817524
0.37	3.577228799
0.38	3.577228799
0.39	3.074817524
0.4	2.140557531
0.41	0.905662088
0.42	-0.456430423
0.43	-1.754418911
0.44	-2.806004497
0.45	-3.463495065
0.46	-3.634548112
0.47	-3.295139276
0.48	-2.492938858
0.49	-1.340611821
0.5	0
