t	Q
0	48.8953
0.0272  100.2652
0.0544  204.4310
0.0816  270.1129
0.1088  277.0019
0.1360  250.6695
0.1633  220.5822
0.1905  193.1197
0.2177  144.8560
0.2449  105.0694
0.2721  65.4686
0.2993  19.0322
0.3265  0.2640
0.3537  1.1998
0.3809  9.9559
0.4081  13.9613
0.4353  18.3849
0.4625  19.7566
0.4898  22.4872
0.5170  17.6476
0.5442  6.2487
0.5714  4.6297
0.5986  -0.2379
0.6258	-3.2774
