t	Q
0	32.1997
0.0290	70.8368
0.0579  145.7373
0.0869  206.6921
0.1158  225.2318
0.1448  205.6309
0.1737  176.7885
0.2027  149.5079
0.2317  117.6819
0.2606  82.1509
0.2896  30.2635
0.3185  -0.7817
0.3475  -1.4027
0.3765	3.6655
0.4054  8.4256
0.4344  11.4096
0.4633	10.1235
0.4923  10.5956
0.5212  11.6443
0.5502  8.0857
0.5792  6.7237
0.6081  3.0119
0.6371  -2.9457
0.6660  1.7854
