Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz          C       Area
    5.9561     6.1213   386.9423    -0.0114    -0.0224    -0.9997    -0.8723     0.4889    -0.0010     0.4888     0.8721    -0.0251     0.0007   112.5781
    5.9505     6.1102   386.4426    -0.0111    -0.0218    -0.9997     0.6612     0.7498    -0.0237     0.7501    -0.6613     0.0061     0.0025   112.5762
    5.9448     6.0992   385.9428    -0.0122    -0.0233    -0.9997    -0.6039    -0.7967     0.0259    -0.7970     0.6040    -0.0044     0.0098   112.5812
    5.9371     6.0853   385.4432    -0.0206    -0.0346    -0.9992    -0.5992    -0.7996     0.0400    -0.8003     0.5996    -0.0042     0.0465   112.6334
    5.9248     6.0654   384.9438    -0.0255    -0.0411    -0.9988     0.5997     0.7987    -0.0482     0.7998    -0.6003     0.0043     0.0138   112.6740
    5.9125     6.0455   384.4445    -0.0248    -0.0401    -0.9989    -0.6036    -0.7959     0.0469    -0.7969     0.6041    -0.0045     0.0087   112.6670
    5.9002     6.0255   383.9451    -0.0229    -0.0376    -0.9990     0.6061     0.7942    -0.0438     0.7951    -0.6065     0.0046     0.0210   112.6511
    5.8879     6.0056   383.4457    -0.0311    -0.0484    -0.9983    -0.6060    -0.7934     0.0574    -0.7948     0.6068    -0.0046     0.0753   112.7286
    5.8756     5.9857   382.9464    -0.0000    -0.0076    -1.0000     0.6068     0.7948    -0.0061     0.7948    -0.6068     0.0046     0.2812   112.5444
    5.8889     5.9994   382.4471     0.0376     0.0416    -0.9984    -0.6057    -0.7938    -0.0558    -0.7948     0.6068    -0.0046     0.0326   112.7176
    5.9063     6.0183   381.9479     0.0339     0.0368    -0.9987     0.6058     0.7941     0.0498     0.7949    -0.6067     0.0046     0.0087   112.6816
    5.9236     6.0372   381.4486     0.0349     0.0381    -0.9987    -0.6043    -0.7951    -0.0515    -0.7960     0.6053    -0.0047     0.0019   112.6911
    5.9410     6.0561   380.9494     0.0345     0.0376    -0.9987    -0.6173    -0.7851    -0.0508    -0.7860     0.6183    -0.0039     0.0010   112.6868
    5.9583     6.0750   380.4501     0.0352     0.0385    -0.9986     0.6129     0.7884     0.0520     0.7894    -0.6139     0.0042     0.0057   112.6936
    5.9747     6.0927   379.9508     0.0272     0.0282    -0.9992    -0.6133    -0.7889    -0.0389    -0.7894     0.6139    -0.0042     0.0582   112.6262
    5.9857     6.1034   379.4511     0.0206     0.0197    -0.9996     0.6124     0.7901     0.0282     0.7903    -0.6127     0.0042     0.0154   112.5857
    5.9967     6.1142   378.9515     0.0225     0.0221    -0.9995    -0.5924    -0.8051    -0.0311    -0.8054     0.5928    -0.0050     0.0035   112.5955
    6.0077     6.1250   378.4518     0.0217     0.0211    -0.9995    -0.7807    -0.6242    -0.0301    -0.6246     0.7810     0.0030     0.0015   112.5911
    6.0188     6.1357   377.9521     0.0230     0.0225    -0.9995     0.7167     0.6967     0.0322     0.6970    -0.7170    -0.0001     0.0094   112.5979
    6.0298     6.1465   377.4525     0.0183     0.0179    -0.9997    -0.7140    -0.6997    -0.0256    -0.6999     0.7143    -0.0001     0.0360   112.5761
    6.0332     6.1498   376.9528    -0.0096    -0.0094    -0.9999    -0.7140    -0.7000     0.0134    -0.7001     0.7141    -0.0001     0.1201   112.5496
    6.0222     6.1390   376.4531    -0.0253    -0.0249    -0.9994     0.7141     0.6992    -0.0354     0.6996    -0.7145     0.0001     0.0320   112.6102
    6.0113     6.1282   375.9534    -0.0210    -0.0206    -0.9996    -0.7206    -0.6928     0.0294    -0.6931     0.7209    -0.0003     0.0081   112.5881
    6.0003     6.1174   375.4538    -0.0224    -0.0221    -0.9995     0.9652    -0.2609    -0.0158    -0.2604    -0.9651     0.0271     0.0003   112.5947
    5.9893     6.1066   374.9541    -0.0212    -0.0206    -0.9996     0.6029     0.7972    -0.0292     0.7975    -0.6033    -0.0044     0.0074   112.5881
    5.9784     6.0958   374.4544    -0.0246    -0.0250    -0.9994    -0.6112    -0.7907     0.0349    -0.7911     0.6117     0.0042     0.0299   112.6083
    5.9640     6.0806   373.9550    -0.0327    -0.0354    -0.9988    -0.6130    -0.7886     0.0480    -0.7894     0.6138     0.0040     0.0228   112.6698
    5.9467     6.0616   373.4557    -0.0350    -0.0385    -0.9986     0.6242     0.7795    -0.0519     0.7804    -0.6252    -0.0033     0.0075   112.6912
    5.9294     6.0427   372.9565    -0.0350    -0.0383    -0.9987    -0.6598    -0.7496     0.0519    -0.7506     0.6608     0.0009     0.0071   112.6906
    5.9121     6.0237   372.4572    -0.0326    -0.0358    -0.9988     0.6723     0.7387    -0.0484     0.7396    -0.6731    -0.0001     0.0210   112.6708
    5.8948     6.0048   371.9580    -0.0421    -0.0461    -0.9981    -0.6729    -0.7371     0.0624    -0.7386     0.6742    -0.0000     0.0768   112.7581
    5.8775     5.9858   371.4587    -0.0067    -0.0074    -1.0000     0.6742     0.7385    -0.0100     0.7385    -0.6743     0.0000     0.2872   112.5437
    5.8896     5.9991   370.9595     0.0382     0.0418    -0.9984    -0.6729    -0.7376    -0.0566    -0.7387     0.6740    -0.0000     0.0200   112.7181
    5.9077     6.0189   370.4603     0.0357     0.0391    -0.9986     0.6698     0.7406     0.0530     0.7417    -0.6708     0.0003     0.0057   112.6957
    5.9259     6.0387   369.9612     0.0363     0.0397    -0.9986    -0.6439    -0.7632    -0.0537    -0.7643     0.6449    -0.0021     0.0025   112.7003
    5.9440     6.0585   369.4620     0.0366     0.0401    -0.9985     0.6103     0.7903     0.0541     0.7913    -0.6114     0.0044     0.0045   112.7032
    5.9621     6.0784   368.9628     0.0349     0.0379    -0.9987    -0.6048    -0.7947    -0.0513    -0.7956     0.6058    -0.0048     0.0155   112.6868
    5.9778     6.0950   368.4634     0.0266     0.0270    -0.9993    -0.6035    -0.7965    -0.0376    -0.7969     0.6041    -0.0049     0.0392   112.6182
    5.9893     6.1062   367.9638     0.0222     0.0211    -0.9995     0.5936     0.8042     0.0302     0.8045    -0.5940     0.0053     0.0097   112.5899
